category;english;Malay;Estonian;Finnish;Hungarian;Armenian;Bengali;Nepali;Japanese;Korean;Turkish;Yoruba;Basque;Swahili;Chinese
computer;data analyst;penganalisis data;andmeanalüütik;analyytikko;adatelemző;տվյալների վերլուծաբան;তথ্য বিশ্লেষক;डेटा विश्लेषक;データアナリスト;데이터 분석가;veri analisti;oluyanju data;datuen analista;mchambuzi wa data;数据分析师
computer;data scientist;saintis data;andmeteadlane;tiedemies;adat tudós;տվյալների գիտնական;তথ্য বিজ্ঞানী;डेटा वैज्ञानिक;データ科学者;데이터 과학자;veri bilimcisi;ọmowé data;datu zientifikoa;mwanasayansi wa data;数据科学家
computer;network analyst;penganalisis rangkaian;võrgu analüütik;verkko-analyytikko;hálózati elemző;ցանցի վերլուծաբան;নেটওয়ার্ক বিশ্লেষক;सञ्जाल विश्लेषक;ネットワークアナリスト;네트워크 분석가;ağ analisti;oluyanju nẹtiwọki;sare analista;mchambuzi wa mtandao;网络分析师
computer;network administrator;pentadbir rangkaian;võrguadministraator;verkon ylläpitäjä;hálózati adminisztrátor;ցանցային ադմինիստրատոր;নেটওয়ার্ক প্রশাসক;सञ्जाल प्रशासक;ネットワーク管理者;네트워크 관리자;ağ yöneticisi;alakoso nẹtiwọki;sare-administratzailea;msimamizi wa mtandao;网络管理员
computer;programmer;pengaturcara;programmeerija;ohjelmoija;programozó;ծրագրավորող;প্রোগ্রামার;प्रोग्रामर;プログラマー;프로그램 제작자;programcı;olupin isẹ;programatzaile;programu;程序员
computer;security engineer;jurutera keselamatan;turvainsener;turvallisuusinsinööri;biztonsági mérnök;անվտանգության ինժեներ;নিরাপত্তা প্রকৌশলী;सुरक्षा ईन्जिनियर;セキュリティエンジニア;보안 엔지니어;güvenlik mühendisi;onisẹ aabo;segurtasun ingeniaria;mhandisi wa usalama;安全工程师
computer;software analyst;penganalisis perisian;tarkvara analüütik;ohjelmistoanalyytikko;szoftver elemző;ծրագրավորող վերլուծաբան;সফ্টওয়্যার বিশ্লেষক;सफ्टवेयर विश्लेषक;ソフトウェアアナリスト;소프트웨어 분석가;yazılım analisti;oluyanju software;software analista;mchambuzi wa programu;软件分析师
computer;software design;reka bentuk perisian;tarkvara disain;ohjelmistosuunnittelu;szoftvertervezés;ծրագրային ապահովում;সফ্টওয়্যার ডিজাইন;सफ्टवेयर डिजाइन;ソフトウェア設計;소프트웨어 설계;yazılım tasarımı;atunto software;software diseinua;programu ya kubuni;软件设计
computer;software engineer;jurutera perisian;tarkvarainsener;ohjelmistoinsinööri;szoftvermérnök;ծրագրավորման ինժեներ;সফ্টওয়্যার ইঞ্জিনিয়ার;सफ्टवेयर इन्जिनियर;ソフトウェアエンジニア;소프트웨어 엔지니어;yazılım mühendisi;onisẹ ẹrọ kọmputa;software ingeniari;programu ya mhandisi;软件工程师
computer;software quality analyst;penganalisis kualiti perisian;tarkvara kvaliteedi analüütik;ohjelmiston laadun analyytikko;szoftver minőségelemző;ծրագրային ապահովման որակյալ վերլուծաբան;সফ্টওয়্যার গুণ বিশ্লেষক;सफ्टवेयर गुणस्तर विश्लेषक;ソフトウェア品質アナリスト;소프트웨어 품질 분석가;yazılım kalite analisti;oluyanju alabara software;software kalitatearen analista;mchambuzi wa ubora wa programu;软件质量分析师
computer;system administrator;pentadbir sistem;süsteemiadministraator;järjestelmänvalvoja;rendszergazda;համակարգի ադմինիստրատոր;সিস্টেম প্রশাসক;प्रणाली प्रशासक;システム管理者;시스템 관리자;sistem yöneticisi;olutọju eto;sistemaren administratzailea;msimamizi wa mfumo;系统管理员
computer;web developer;pemaju web;veebiarendaja;web-kehittäjä;webfejlesztő;վեբ ծրագրավորողը;ওয়েব ডেভেলপার;वेब विकासकर्ता;ウェブ開発者;웹 개발자;web geliştiricisi;olùgbéejáde wẹẹbù;web developer;msanidi wa wavuti;web开发人员
corporate;chief administrative officer;ketua pegawai pentadbiran;juhtiv haldusametnik;hallintovirkamies;adminisztratív főnök;ավագ վարչական սպա;প্রধান প্রশাসনিক কর্মকর্তা;मुख्य प्रशासनिक अधिकारी;最高管理責任者;최고 행정 책임자;idari işler müdürü;olori alakoso olori;administrazioko buruzagi nagusia;afisa wa utawala mkuu;首席行政官员
corporate;chief analytics officer;ketua pegawai analisis;juht analüüsiametnik;pääanalyytikkopäällikkö;vezető elemző tiszt;գլխավոր վերլուծաբան սպա;প্রধান বিশ্লেষণ কর্মকর্তা;मुख्य विश्लेषक अधिकारी;チーフアナリティクスオフィサー;수석 분석 담당자;şef analit memuru;olori alakoso alakoso;chief analytics officer;afisa wa analytics mkuu;首席分析官
corporate;chief brand officer;ketua pegawai jenama;peamine kaubamärgi ohvitser;johtava brändin upseeri;vezető márkavezető;գլխավոր բրենդի սպա;প্রধান ব্র্যান্ড অফিসার;प्रमुख ब्रान्ड अधिकारी;チーフブランドオフィサー;최고 브랜드 책임자;ana marka yetkilisi;olori alakoso;buru-marka ofizial;mtawala mkuu wa bidhaa;首席品牌官
corporate;chief business development officer;ketua pegawai pembangunan perniagaan;juhtiv äriarengu ohvitser;päätoimialan kehityspäällikkö;vezető üzletfejlesztési tiszt;գլխավոր բիզնեսի զարգացման սպա;প্রধান ব্যবসা উন্নয়ন কর্মকর্তা;मुख्य व्यापार विकास अधिकारी;主任事業開発責任者;수석 비즈니스 개발 책임자;şef iş geliştirme subayı;olori oludari owo iṣowo;negozio garapeneko buruak;afisa mkuu wa maendeleo ya biashara;首席业务发展官员
corporate;chief business officer;ketua pegawai perniagaan;juhtiv äriametnik;päätoimittaja;üzletvezető;գլխավոր բիզնեսի սպա;প্রধান ব্যবসায় কর্মকর্তা;मुख्य व्यापार अधिकारी;最高執行責任者;최고 경영 책임자;şef iş subayı;olori agba iṣowo;enpresa nagusiaren arduraduna;afisa wa biashara mkuu;首席商务官
corporate;chief commercial officer;ketua pegawai dagang;kaubandusametnik;pääkonttori;fő kereskedelmi tiszt;գլխավոր առեւտրային սպա;প্রধান বাণিজ্যিক কর্মকর্তা;मुख्य व्यवसायी अधिकारी;チーフ・コマーシャル・オフィサー;최고 상업 책임자;baş ticari görevlisi;olori ile-iṣẹ iṣowo;lehen komertzial ofizial;afisa wa kibiashara mkuu;首席商务官
corporate;chief communications officer;ketua pegawai komunikasi;juht sideametnik;viestintäpäällikkö;fő kommunikációs tiszt;գլխավոր կապի սպա;প্রধান যোগাযোগ কর্মকর্তা;मुख्य संचार अधिकारी;最高通信責任者;최고 통신 책임자;şef iletişim sorumlusu;olori alakoso awọn olori;komunikazio ofizial nagusia;afisa wa mawasiliano mkuu;首席通讯官员
corporate;chief compliance officer;ketua pegawai pematuhan;täitmise eest vastutav ametnik;päävalvojana;főfelelős tisztviselő;բարձրաստիճան պատասխանատու սպա;প্রধান অভিযোগ কর্মকর্তা;मुख्य अनुपालन अधिकारी;チーフコンプライアンスオフィサー;최고 준법 감시인;baş uyum görevlisi;oludari alakoso olori;zuzendari nagusiaren arduraduna;afisa mkuu wa kufuata;首席合规官
corporate;chief creative officer;ketua pegawai kreatif;pealik looja ohvitser;pääluokan luova virkamies;fő kreatív tiszt;գլխավոր ստեղծագործական սպա;প্রধান সৃজনশীল কর্মকর্তা;मुख्य सृजनात्मक अधिकारी;チーフクリエイティブオフィサー;최고 광고 책임자;şef yaratıcı subay;olori oludari akọkọ;sormen ofizial nagusia;afisa wa ubunifu mkuu;首席创意官
corporate;chief customer officer;ketua pegawai pelanggan;peamine klienditeenindaja;pääkäyttäjä;fő ügyfelek tisztviselője;գլխավոր սպառողի սպա;প্রধান গ্রাহক অফিসার;मुख्य ग्राहक अधिकारी;最高顧客責任者;최고 고객 담당자;şef müşteri memuru;olori onibara alabara;lehen mailako arduraduna;mkuu wa wateja;首席客户官员
corporate;chief data officer;ketua pegawai data;andmekaitseametnik;päätiedottaja;főigazgató;գլխավոր տվյալների ծառայող;প্রধান তথ্য কর্মকর্তা;मुख्य डेटा अधिकारी;チーフデータオフィサー;수석 데이터 관리자;şef veri sorumlusu;olori oṣiṣẹ data;datu nagusiaren arduraduna;mkuu wa data ya data;首席数据官
corporate;chief design officer;ketua pegawai reka bentuk;peamine disainiametnik;pääsuunnittelupäällikkö;fő tervező tiszt;գլխավոր դիզայներ;প্রধান নকশা অফিসার;मुख्य डिजाइन अधिकारी;最高設計責任者;최고 설계 책임자;şef tasarım görevlisi;olori alakoso olori;chief design officer;afisa wa kubuni mkuu;首席设计官
corporate;chief digital officer;ketua pegawai digital;digitaalne peakontor;johtava digitaalinen upseeri;vezető digitális tiszt;գլխավոր թվային սպա;প্রধান ডিজিটাল অফিসার;मुख्य डिजिटल अधिकारी;最高デジタル責任者;최고 디지털 책임자;baş dijital görevli;olori nọmba oṣiṣẹ;buru ofizial digitala;mtawala mkuu wa digital;首席数字官
corporate;chief diversity officer;ketua pegawai kepelbagaian;peamine mitmekesisuse ohvitser;johtava monimuotoisuusedustaja;fő sokszínűség tisztviselő;գլխավոր բազմազանության սպա;প্রধান বৈচিত্র্য কর্মকর্তা;मुख्य विविधता अधिकारी;チーフダイバーシティオフィサー;수석 다양성 장교;baş çeşitlilik subayı;oṣiṣẹ olori oniruuru;aniztasunaren ofizial nagusia;afisa mkuu wa tofauti;首席多元化官员
corporate;chief content officer;ketua pegawai kandungan;peamine sisuametnik;pääresurssien päällikkö;fő tartalomfelelős;գլխավոր բովանդակային սպա;প্রধান বিষয়বস্তু কর্মকর্তা;मुख्य सामाग्री अधिकारी;チーフコンテンツオフィサー;최고 정보 책임자;şef içerik memuru;olori ile-iṣẹ alakoso;eduki nagusien ofizialak;afisa mkuu wa maudhui;首席内容官
corporate;chief events officer;ketua pegawai acara;peamine sündmusohvitser;päätapahtumien päällikkö;fő események tisztviselője;գլխավոր միջոցառումների սպա;প্রধান অনুষ্ঠান অফিসার মো;मुख्य घटना अधिकारी;チーフ・イベント・オフィサー;최고 책임자;şef olay subayı;olori alakoso olori;gertakari ofizial nagusiak;afisa mkuu wa matukio;首席事件官
corporate;chief executive officer;ketua pegawai eksekutif;tegevjuht;toimitusjohtaja;vezérigazgató;գլխավոր գործադիր տնօրեն;প্রধান নির্বাহী কর্মকর্তা;प्रमुख कार्यकारी अधिकृत;最高経営責任者;최고 경영자;baş yönetici;ohun niyi;buruzagi exekutiboa;mkurugenzi mkuu;首席执行官
corporate;chief experience officer;ketua pegawai pengalaman;peamine kogemusametnik;pääkokemus virkamies;vezető tapasztalatvezető;գլխավոր փորձի սպա;প্রধান অভিজ্ঞতা কর্মকর্তা;मुख्य अनुभव अधिकारी;主任経験士;수석 경험자;baş deneyimi memuru;olori agba iriri;esperientzia ofizial nagusia;afisa wa uzoefu wa wakuu;首席体验官
corporate;chief financial officer;ketua pegawai kewangan;finantsjuht;talousjohtaja;pénzügyi vezető;գլխավոր ֆինանսիստ;প্রধান অর্থনৈতিক কর্মকর্তা;प्रमुख वित्तीय अधिकारी;最高財務責任者;최고 재무 책임자;şef mali görevli;olori oludari owo;lehen finantza-arduraduna;afisa mkuu wa fedha;首席财务官
corporate;chief gaming officer;ketua pegawai permainan;peamine mängude ohvitser;pääpelaaja;a játékvezető;գլխավոր խաղերի սպա;প্রধান গেমিং অফিসার;मुख्य गेमिंग अधिकारी;チーフゲーミング・オフィサー;최고 게임 책임자;baş oyun subayı;olori oludari agba;jolas ofizial nagusia;afisa wa michezo ya kubahatisha;首席博彩官
corporate;chief genealogical officer;ketua pegawai silsilah;perekonnaseisukohtunik;päägenaloginen virkamies;vezető gazdafi tiszt;գլխավոր ծագումնաբանական սպա;প্রধান বংশোদ্ভূত অফিসার;मुख्य वंशावली अधिकारी;チーフ系統官;최고 계보 학자;şef soykütüğü memuru;olori agbofinro;ofizial nagusiaren genealogia;mkuu wa jeshi la kizazi;首席系谱官
corporate;chief human resources officer;ketua pegawai sumber manusia;juht personalijuht;johtava henkilöstöjohtaja;fő humán erőforrás tiszt;գլխավոր մարդկային ռեսուրսների սպա;প্রধান মানব সম্পদ কর্মকর্তা;मुख्य मानव संसाधन अधिकारी;チーフ人事責任者;최고 인사 책임자;baş insan kaynakları görevlisi;olori oludari eniyan;giza baliabideen arduraduna;afisa mkuu wa rasilimali za binadamu;首席人力资源官
corporate;chief information officer;ketua pegawai maklumat;peamine teabetöötaja;tietohallintojohtaja;vezérigazgató;գլխավոր տեղեկատվական ծառայող;প্রধান তথ্য কর্মকর্তা;मुख्य जानकारी अधिकारी;最高情報責任者;최고 정보 책임자;bilişim kurulu başkanı;olori alakoso alaye;informazio chief ofizial;mkuu wa habari wa habari;首席信息官
corporate;chief information officer;ketua pegawai maklumat;peamine teabetöötaja;tietohallintojohtaja;vezérigazgató;գլխավոր տեղեկատվական ծառայող;প্রধান তথ্য কর্মকর্তা;मुख्य जानकारी अधिकारी;最高情報責任者;최고 정보 책임자;bilişim kurulu başkanı;olori alakoso alaye;informazio chief ofizial;mkuu wa habari wa habari;首席信息官
corporate;chief information security officer;ketua pegawai keselamatan maklumat;peamine infoturbeametnik;tietoturvapäällikkö;vezető informatikai biztonsági tisztviselő;գլխավոր տեղեկատվական անվտանգության աշխատակից;প্রধান তথ্য নিরাপত্তা কর্মকর্তা;मुख्य सूचना सुरक्षा अधिकारी;最高情報セキュリティ責任者;최고 정보 보호 책임자;enformasyon güvenlik sorumlusu;olori alaye aabo osise;informazio chief segurtasun arduraduna;mkuu wa habari wa usalama wa habari;首席信息安全官
corporate;chief innovation officer;ketua pegawai inovasi;juhtiv innovatsiooniametnik;johtava innovaatiojohtaja;vezető innovációs tiszt;գլխավոր նորարարության սպա;প্রধান উদ্ভাবন কর্মকর্তা;प्रमुख नवाचार अधिकारी;チーフイノベーションオフィサー;최고 혁신 책임자;baş yenilik sorumlusu;olori alakoso olori;berrikuntzako zuzendari nagusia;afisa wa innovation mkuu;首席创新官
corporate;chief investment officer;ketua pegawai pelaburan;peamine investeerimisametnik;sijoituspäällikkö;fő befektetési tisztviselő;գլխավոր ներդրումային սպա;প্রধান বিনিয়োগ কর্মকর্তা;मुख्य लगानी अधिकारी;最高投資責任者;최고 투자 책임자;şef yatırım görevlisi;oludari oludari ọga;inbertsio ofizial nagusia;afisa wa uwekezaji mkuu;首席投资官
corporate;chief knowledge officer;ketua pegawai pengetahuan;teadmiste juhataja;johtava tietopäällikkö;fő tudástársa;գլխավոր գիտաշխատող;প্রধান জ্ঞান কর্মকর্তা;मुख्य ज्ञान अधिकारी;最高司令官;최고 지식 책임자;şef bilgilendirme görevlisi;oludari olori oye;nagusia ezagutzako arduraduna;afisa wa maarifa mkuu;首席知识官
corporate;chief learning officer;ketua pegawai pembelajaran;kooliõpetaja;pääopettaja;fő tanító tiszt;գլխավոր ուսուցչուհի;প্রধান শিক্ষণ কর্মকর্তা;मुख्य शिक्षा अधिकारी;チーフラーニングオフィサー;최고 학습 책임자;baş öğrenme görevlisi;olori oluko olori;ikasketa ofizial nagusia;afisa wa kujifunza mkuu;首席学习官
corporate;chief legal officer;ketua pegawai undang-undang;õigusjärglane;päälakimies;főügyész;գլխավոր իրավախորհրդատու;প্রধান আইনি কর্মকর্তা;मुख्य कानूनी अधिकारी;最高法務責任者;최고 법률 책임자;baş yasal görevli;olori oṣiṣẹ ile-iwe;legezko arduraduna;afisa wa kisheria mkuu;首席法务官
corporate;chief marketing officer;ketua pegawai pemasaran;turundusjuht;markkinointipäällikkö;marketingvezető;գլխավոր մարքեթինգային սպա;প্রধান বিপণন কর্মকর্তা;प्रमुख मार्केटिंग अधिकारी;チーフマーケティングオフィサー;최고 마케팅 책임자;pazarlama şefi;olori alakoso tita;chief marketing officer;afisa mkuu wa masoko;首席营销官
corporate;chief operating officer;ketua pegawai operasi;tegevjuht;toimitusjohtaja;vezérigazgató;գործադիր տնօրեն;প্রধান পরিচালন কর্মকর্তা;मुख्य परिचालन अधिकारी;最高執行責任者;최고 운영 책임자;baş işletme görevlisi;olori alakoso iṣẹ;operadore nagusia;afisa wa uendeshaji mkuu;首席运营官
corporate;chief privacy officer;ketua pegawai privasi;peaarvepidaja;tietosuojavaltuutettu;vezető adatvédelmi tisztviselő;գլխավոր գաղտնիության սպա;প্রধান গোপনীয়তা কর্মকর্তা;मुख्य गोपनीयता अधिकारी;最高プライバシー責任者;최고 개인 정보 보호 책임자;baş gizlilik görevlisi;olori alakoso alakoso;pribatutasuneko buruzagi nagusia;mkuu wa faragha afisa;首席隐私官
corporate;chief process officer;ketua pegawai proses;peamine protsessiametnik;pääprosessin virkailija;vezető tisztségviselő;գլխավոր գործընթացի սպա;প্রধান প্রক্রিয়া কর্মকর্তা;मुख्य प्रक्रिया अधिकारी;チーフプロセスオフィサー;최고 공정 책임자;baş sürec görevlisi;olori alakoso iṣakoso;prozesu nagusiaren arduraduna;mkuu wa mchakato wa mchakato;首席过程官
corporate;chief product officer;ketua pegawai produk;peamine tooteametnik;päätuoteedustaja;fő termék tiszt;գլխավոր արտադրանքի սպա;প্রধান পণ্য কর্মকর্তা;मुख्य उत्पाद अधिकारी;チーフプロダクトオフィサー;최고 제품 책임자;şef ürün sorumlusu;olori alakoso ọja;lehen produktuen arduraduna;afisa wa bidhaa kuu;首席产品官
corporate;chief reputation officer;ketua pegawai reputasi;peamine maineametnik;pääedustaja;fő hírnevét tisztviselő;գլխավոր հեղինակն է;প্রধান খ্যাতি কর্মকর্তা;मुख्य प्रतिष्ठा अधिकारी;最高評議員;최고 평판 책임자;baş itibarı memuru;olori ile-iṣẹ rere;ospe ofizial nagusia;afisa wa sifa maarufu;首席信誉官
corporate;chief research officer;ketua pegawai penyelidik;peaspetsialist;johtava tutkija;vezető kutató;գլխավոր հետազոտող;প্রধান গবেষণা কর্মকর্তা মো;मुख्य अनुसन्धान अधिकारी;最高研究責任者;최고 연구 책임자;baş araştırma görevlisi;olori alakoso;ikerketa arduraduna;afisa wa utafiti mkuu;首席研究员
corporate;chief restructuring officer;ketua pegawai penstrukturan semula;peamine ümberkorraldaja;johtava rakenneuudistuskomitea;fő szerkezetátalakítási tisztviselő;գլխավոր վերակազմակերպման սպա;প্রধান পুনর্গঠনকারী কর্মকর্তা;मुख्य पुनर्गठन अधिकारी;チーフ・リストラクチャリング・オフィサー;수석 구조 조정관;baş yeniden yapılandırma görevlisi;olori alakoso atunṣe pataki;lehen buru berregituratzea;afisa mkuu wa marekebisho;首席重组官员
corporate;chief revenue officer;ketua pegawai pendapatan;peamine müügitöötaja;päätoimittaja;fő bevételi tisztviselő;գլխի եկամուտների սպա;প্রধান রাজস্ব কর্মকর্তা;मुख्य राजस्व अधिकारी;最高財務責任者;최고 수입 관리원;baş gelir subayı;olori oludari agba;lehen diru-sarreren arduraduna;afisa mkuu wa mapato;首席税务官
corporate;chief risk officer;ketua pegawai risiko;peamine riskiametnik;johtava riskienhallinta;fő kockázati tiszt;գլխավոր ռիսկի սպա;প্রধান ঝুঁকি কর্মকর্তা;मुख्य जोखिम अधिकारी;チーフ・リスク・オフィサー;최고 책임자;şef risk sorumlusu;olori oludari ewu;arrisku nagusiaren arduraduna;afisa mkuu wa hatari;首席风险官
corporate;chief science officer;ketua pegawai sains;teaduse peaspetsialist;johtava tiedepäällikkö;tudományos főnök;գլխավոր գիտաշխատող;প্রধান বিজ্ঞান কর্মকর্তা;मुख्य विज्ञान अधिकारी;チーフサイエンスオフィサー;수석 과학관;baş bilim subayı;asiwaju ile-ẹkọ giga;zientzia ofizial nagusia;afisa wa sayansi mkuu;首席科学官
corporate;chief scientific officer;ketua pegawai saintifik;vanemteadur;päätieteilijä;tudományos főnök;գլխավոր գիտաշխատող;প্রধান বৈজ্ঞানিক কর্মকর্তা;मुख्य वैज्ञानिक अधिकारी;最高科学責任者;수석 과학관;baş bilim memuru;olori ijinle sayensi;ofizial zientifiko nagusia;afisa wa kisayansi mkuu;首席科学家
corporate;chief security officer;ketua pegawai keselamatan;peamine turvaülem;turvallisuuspäällikkö;fő biztonsági tisztviselő;գլխավոր անվտանգության աշխատակից;প্রধান নিরাপত্তা কর্মকর্তা;मुख्य सुरक्षा अधिकारी;最高セキュリティ責任者;최고 보안 책임자;güvenlik görevlisi şefi;olori aabo osise;segurtasun arduraduna;afisa wa usalama mkuu;首席安全官
corporate;chief services officer;ketua pegawai perkhidmatan;peakontorite ametnik;pääpalvelupäällikkö;főszolgálati tisztviselő;գլխավոր ծառայությունների աշխատակից;প্রধান সেবা কর্মকর্তা;मुख्य सेवा अधिकारी;チーフサービスオフィサー;최고 서비스 책임자;şef hizmetleri görevlisi;aṣoju iṣẹ alakoso;zerbitzu nagusien arduraduna;mkuu wa huduma za huduma;首席服务官
corporate;chief strategy officer;ketua pegawai strategi;peamine strateegiametnik;päällikköstrategia;vezető stratégiai tiszt;գլխավոր ռազմավարության սպա;প্রধান কৌশল কর্মকর্তা;मुख्य रणनीति अधिकारी;最高戦略責任者;최고 전략 책임자;şef strateji sorumlusu;olori oludari alakoso;buru-estrategia ofizial;afisa mkakati mkuu;首席战略官
corporate;chief sustainability officer;ketua pegawai kemampanan;peamine jätkusuutlikkuse ametnik;kestävän kehityksen päällikkö;vezető fenntarthatósági tiszt;գլխավոր կայունության սպա;প্রধান টেকসই অফিসার;मुख्य स्थिरता अधिकारी;チーフサステナビリティオフィサー;최고 지속 가능 경영자;baş sürdürülebilirlik subayı;olori alakoso olori;iraunkortasuneko buruzagi nagusia;afisa mkuu wa uendelezaji;首席可持续人员
corporate;chief technology officer;ketua pegawai teknologi;tehnoloogia peadirektor;teknologiapäällikkö;műszaki vezérigazgató;գլխավոր տեխնոլոգիական սպա;মুখ্য প্রযুক্তিবিদ্যা অফিসার;मुख्य प्रविधि अधिकारी;最高技術責任者;최고 기술 책임자;teknolojiden sorumlu başkan;olori ile-iṣẹ imọ-ẹrọ;teknikari buruzagi nagusia;afisa wa teknolojia mkuu;首席技术官
corporate;chief visibility officer;ketua penglihatan ketua;peamine nähtavuse ohvitser;johtava näkyvyysvalvoja;vezető tisztviselő;գլխավոր տեսանելիության սպա;প্রধান দৃশ্যমানতা কর্মকর্তা;मुख्य दृश्यता अधिकारी;チーフビジター;수석 시인 장교;baş görünürlük görevlisi;aṣoju alakoso pataki;ikusmen ofizial nagusia;afisa wa kujulikana wakuu;首席知名官员
corporate;chief visionary officer;ketua pegawai penglihatan;peamine nägemisterav ametnik;johtava visionääri;fő látnok tiszt;գլխավոր տեսուչ սպա;প্রধান স্বপ্নদর্শী কর্মকর্তা;मुख्य दर्शन अधिकारी;最高幹部役員;최고 공무 장교;baş vizyon memuru;olori alaye iranran;ikuspegi arduradun nagusia;afisa wa maono mkuu;首席有远见官员
corporate;chief web officer;ketua pegawai web;peamine veebiametnik;päätoimittaja;vezető webes tiszt;գլխավոր վեբ-սպա;প্রধান ওয়েব অফিসার;मुख्य वेब अधिकारी;チーフウェブオフィサー;최고 웹 책임자;şef web sorumlusu;olusakoso aaye ayelujara akọkọ;chief web officer;mtendaji mkuu wa wavuti;首席web官员
dance;ballet dancer;penari balet;balletitantsija;balettitanssija;balett táncos;բալետ պարող;নটী;बैले नर्तक;バレエダンサー;발레 댄서;bale dansçısı;oniṣere ballet;ballet dantzaria;mchezaji wa ballet;芭蕾舞演员
dance;backup dancer;penari sandaran;varu tantsija;varmuuskopio tanssija;biztonsági táncos;կրկնօրինակ պարող;ব্যাকআপ নর্তকী;ब्याकअप नर्तक;バックアップダンサー;백업 댄서;yedek dansçı;afẹyinti afẹyinti;babes dantzaria;dancer ya ziada;备份舞者
dance;choreographer;koreografer;koreograaf;koreografi;koreográfus;երգչուհի;ব্যালেটনাচের পরিকল্পক;कोरियोग्राफर;振付師;안무가;kareograf;choreographer;koreografoa;choreographer;编舞
dance;dancer;penari;tantsija;tanssija;táncos;պարուհի;নর্তকী;नर्तक;ダンサー;춤추는 사람;dansçı;oniṣere;dantzari;mchezaji;舞蹈家
dance;dance therapy;terapi tarian;tantsuteraapia;tanssiterapia;táncterápia;պարային թերապիա;নাচ থেরাপি;नृत्य थेरेपी;ダンスセラピー;댄스 요법;dans terapisi;ijó itọju;dantza-terapia;tiba ya ngoma;舞蹈疗法
dance;exotic dancer;penari eksotik;eksootiline tantsija;eksoottinen tanssija;egzotikus táncos;էկզոտիկ պարուհի;বহিরাগত নর্তকী;विदेशी नर्तक;エキゾチックなダンサー;이국적인 댄서;egzotik dansçı;asiṣere nla;dantzari exotikoak;dansi wa kigeni;异国情调的舞者
dance;répétiteur;répetiteur;répétiteur;répétiteur;korrepetítor;répétiteur;répétiteur;répétiteur;専門家;전문가;répétiteur;onibara;répétiteur;repetiteur;répétiteur
dance;showgirl;showgirl;showgirl;showgirl;showgirl;շոու աղջիկ;showgirl;showgirl;ショーガール;쇼걸;showgirl;showgirl;showgirl;showgirl;歌女
dance;dance journalist;wartawan tarian;tantsu ajakirjanik;tanssija toimittaja;táncújságíró;պարային լրագրող;নাচ সাংবাদিক;नृत्य पत्रकार;ダンスジャーナリスト;댄스 기자;dans gazeteci;ijó onise;dantza kazetaria;mwandishi wa ngoma;舞蹈记者
film-television;animator;animator;animaator;animaattori;animátor;անիմատոր;অ্যানিমেটর;animator;アニメーター;애니메이터;animatör;animator;animatzaile;kipiga picha;动画制作者
film-television;cartoonist;kartunis;cartoonist;pilapiirtäjä;rajzfilmkészítő;մուլտիպլիկատոր;ব্যঙ্গচিত্র অংকনকারী;कार्टूनवादी;漫画家;만화가;karikatürist;oluwaworan;marrazkilari;cartoonist;漫画家
film-television;tweener;tweener;tweener;tweener;tweener;ծաղրանկարիչ;টুইনার;tweener;二人;두 사람;tweener;laarin;tweener;tweener;中间人
film-television;casting director;pengarah pemutus;casting director;roolittaja;casting igazgató;ձուլման ռեժիսոր;কাস্টিং পরিচালক;कास्टिंग निर्देशक;キャスティングディレクター;캐스팅 디렉터;rol yönetmeni;oludari simẹnti;casting zuzendaria;mkurugenzi akitoa;选角导演
film-television;cinematographer;cinematographer;operaator;kuvaaja;operatőr;կինեմատոգրաֆիստ;সিনেমাটোগ্রাফার;छायांकन;撮影監督;촬영 기사;alıcı yönetmeni;olorinrin;zinema;sinema ya sinema;放映技师
film-television;executive producer;penerbit eksekutif;produtsent;vastaava tuottaja;ügyvezető producer;գործադիր պրոդյուսեր;নির্বাহী প্রযোজক;कार्यकारी निर्माता;製作責任者;제작자;yapımcı;alaṣẹ oludari;ekoizpen exekutiboa;mtendaji mtendaji;执行制片人
film-television;film director;pengarah filem;režissöör;elokuvaohjaaja;filmrendező;ռեժիսոր;চলচ্চিত্র পরিচালক;चलचित्र निर्देशक;映画監督;영화 감독;film yönetmeni;oludari fiimu;film zuzendaria;mkurugenzi wa filamu;电影导演
film-television;film producer;penerbit filem;filmi produtsent;elokuvatuottaja;film producer;ֆիլմի պրոդյուսեր;চলচ্চিত্র প্রযোজক;चलचित्र निर्माता;映画制作者;영화 제작자;film yapımcısı;fiimu ti o pese;film ekoizlea;mtayarishaji wa filamu;电影制作人
film-television;production manager;pengurus pengeluaran;tootmisjuht;tuotantopäällikkö;gyártásvezető;արտադրության մենեջեր;উৎপাদন ব্যবস্থাপক;उत्पादन प्रबन्धक;プロダクションマネージャー;생산 관리자;üretim müdürü;oluṣakoso faili;ekoizpen-kudeatzailea;meneja uzalishaji;产品经理
film-television;screenwriter;penulis skrin;stsenarist;käsikirjoittaja;forgatókönyvíró;սցենարիստ;চিত্রনাট্যকার;स्क्रिप्टलेखक;脚本家;시나리오 작가;senaryo yazarı;onisewewe;gidoilari;mwandishi wa skrini;编剧
film-television;stunt coordinator;koordinator stunt;trikkide koordinaator;stunt-koordinaattori;kaszkadőr koordinátor;stunt համակարգող;স্টান্ট সমন্বয়কারী;स्टन्ट समन्वयक;スタントコーディネーター;스턴트 코디네이터;dublör koordinatörü;alakoso stunt;stunt coordinator;mratibu wa kudanganya;特技协调员
