Category	English	Malay	Estonian	Finnish	Hungarian	Armenian	Bengali	Nepali	Japanese	Korean	Turkish	Yoruba	Basque	Swahili	Chinese	
Management occupations	Property manager	pengurus harta	kinnisvara haldaja	kiinteistönhoitaja	ingatlan-kezelő	գույքի կառավարիչ	সম্পত্তি ব্যবস্থাপক	सम्पत्ति प्रबन्धक	プロパティマネージャー	자산 관리자	mülk müdürü	oluṣakoso ohun ini	jabetza kudeatzailea	meneja wa mali	?	
Management occupations	Public relations manager	pengurus perhubungan awam	avalike suhete juht	pr-manageri	?	հասարակայնության հետ կապերի պատասխանատու	গণযোগাযোগ কর্মকর্তা	सार्वजनिक सम्बन्ध प्रबन्धक	広報マネージャー	홍보 관리자	halkla i̇lişkiler müdürü	alakoso iṣeduro alajọpọ	harreman publiko kudeatzailea	meneja wa mahusiano ya umma	公关经理	
Management occupations	Purchasing manager	pengurus pembelian	ostujuht	ostopäällikkö	beszerzési menedzser	գնումների մենեջեր	ক্রয় ম্যানেজার	?	購買部長	구매 담당자	satın alma müdürü	oluṣakoso rira	erosketa kudeatzailea	meneja wa ununuzi	采购经理	
Management occupations	Rancher	rancher	rabarber	karjatilallinen	farmer	?	র্যাঁশের	rancher	ランチャー	목장 경영자	çiftlik sahibi	rancher	rancher	?	农场工人	
Management occupations	Real estate manager	pengurus harta tanah	kinnisvarahaldur	?	ingatlanvezető	անշարժ գույքի կառավարիչ	রিয়েল এস্টেট ব্যবস্থাপক	अचल सम्पत्ति प्रबन्धक	不動産マネージャー	부동산 매니저	gayrimenkul yöneticisi	ohun ini gidi	higiezinen kudeatzailea	meneja wa mali isiyohamishika	房地产经理	
Management occupations	Sales manager	pengurus jualan	müügijuht	myyntipäällikkö	értékesítési vezető	վաճառքի մենեջեր	বিক্রয় ব্যবস্থাপক	बिक्री प्रबन्धक	営業部長	영업 관리자	satış müdürü	alabojuto nkan tita	salmenten kudeatzailea	meneja wa mauzo	销售经理	
Management occupations	Social manager	?	sotsiaalhaldur	sosiaalinen johtaja	szociális vezető	սոցիալական մենեջեր	সামাজিক ব্যবস্থাপক	सामाजिक प्रबन्धक	ソーシャルマネージャー	사회 매니저	sosyal yönetici	oluṣakoso eniyan	gizarte kudeatzailea	meneja wa kijamii	社交经理	
Management occupations	Storage manager	pengurus storan	laduhaldur	varastonhallinta	tároláskezelő	պահպանման մենեջեր	স্টোরেজ ম্যানেজার	भण्डारण प्रबन्धक	ストレージマネージャ	?	depo müdürü	oluṣakoso ibi ipamọ	biltegiratze kudeatzailea	meneja wa kuhifadhi	存储管理器	
Management occupations	Training manager	pengurus latihan	koolitusjuht	koulutuspäällikkö	a képzés vezetője	վերապատրաստման մենեջեր	প্রশিক্ষণ পরিচালক	प्रशिक्षण प्रबन्धक	トレーニングマネージャー	교육 관리자	eğitim koçu	olukọni ikẹkọ	prestakuntza kudeatzailea	meneja wa mafunzo	培训经理	
Management occupations	Transportation manager	pengurus pengangkutan	transpordi juht	liikenteenohjaaja	szállítási menedzser	?	পরিবহন ব্যবস্থাপক	यातायात प्रबन्धक	?	운송 매니저	ulaştırma müdürü	oluṣakoso gbigbe	garraio kudeatzailea	?	运输经理	
Installation, maintenance, and repair occupations	Air conditioning installer	?	kliimaseadme paigaldaja	ilmastoinnin asentaja	légkondicionáló telepítő	օդորակիչ տեղադրող	এয়ার কন্ডিশনার ইনস্টলার	?	空調インストーラ	에어컨 설치자	klima yükleyici	ẹrọ atimole afẹfẹ	aire girotua instalatzailea	installer hewa conditioning	空调安装人员	
Installation, maintenance, and repair occupations	Air conditioning mechanic	mekanik penghawa dingin	kliimaseadme mehaanik	ilmastointi mekaanikko	légkondicionáló szerelő	օդափոխիչի մեխանիկ	এয়ার কন্ডিশনার মেকানিক	एयरलाइन्स मेकानिक	空調メカニック	공기 조절 정비공	klima tamircisi	ẹrọ atẹgun ti afẹfẹ	aire girotua mekanikaria	mtambo wa hali ya hewa	空调机械师	
Installation, maintenance, and repair occupations	Aircraft mechanic	mekanik pesawat	õhusõidukite mehaanik	ilma-aluksen mekaanikko	légi járműszerelő	ինքնաթիռի մեխանիկ	বিমান মেকানিক	विमानस्थल मेकेनिक	?	항공기 정비공	uçak teknisyeni	ọkọ ayọkẹlẹ ofurufu	hegazkin mekanikaria	meli ya ndege	飞机机械师	
Installation, maintenance, and repair occupations	Aircraft service technician	juruteknik perkhidmatan kapal terbang	õhusõidukite hooldustehnik	ilma-aluksen huoltoteknikko	repülőgép-szerviztechnikus	օդանավի սպասարկման տեխնիկ	বিমান পরিষেবা প্রযুক্তিবিদ	विमान सेवा प्रविधि	航空機サービス技術者	항공기 서비스 기술자	uçak servisi teknisyeni	oniṣowo onisẹ ẹrọ	hegazkinaren zerbitzu teknikaria	teknolojia ya huduma ya ndege	飞机维修技术员	
Installation, maintenance, and repair occupations	Amusement machine repairer	pembaikan mesin hiburan	lõbustusmasina remonditöökoda	huvi-koneen korjaamo	szórakoztató gép javítóműhely	զվարճանքի մեքենաների վերանորոգող	বিনোদন মেশিন মেরামতকারী	मनोरञ्जन मिसिन मरम्मतकर्ता	アミューズメントマシン修理	오락 기계 수리공	eğlence makine tamircisi	ẹrọ atunṣe ẹrọ iṣere	jolas makina konponketa	mashine ya pumbao	娱乐机修理工	
Installation, maintenance, and repair occupations	Amusement machine servicer	servis mesin hiburan	lõbustusmasina teenindaja	huvi koneen huoltajalla	szórakoztató gép szerviz	զվարճանքի մեքենայի սպասարկող	বিনোদন মেশিন servicer	मनोरञ्जन मिसिन servicer	アミューズメント・マシン・サービサー	오락 기계 서비스업 자	eğlence makine servisi	ẹrọ isise ẹrọ iṣere	jolas makina zerbitzaria	mashine ya pumbao servicer	娱乐机器服务商	
Installation, maintenance, and repair occupations	Automated teller repairer	pembaiki juruwang automatik	automaatne telleri remonditöökoda	automaattinen pankkikortin korjaaja	automatizált javítóműhely	?	স্বয়ংক্রিয় টেলার মেরামতকারী	स्वचालित ट्युमर मरम्मतकर्ता	自動預け払い修理業者	자동 텔러 수선공	otomatik vezne tamircisi	oluṣakoso alatako automate	kutxazain automatiko automatizatua	mtayarishaji wa automatiser	自动取款机	
Installation, maintenance, and repair occupations	Automotive glass installer	pemasang kaca automotif	autoklaasi paigaldaja	autojen lasin asentaja	autóipari telepítő	ավտոմոբիլային ապակու տեղադրող	স্বয়ংচালিত গ্লাস ইনস্টলার	मोटर वाहन ग्लास इंस्टॉलर	自動車用ガラスインストーラ	자동차 유리 설치자	otomotiv cam yükleyici	?	automobilgintza instalatzailea	mtengenezaji wa kioo wa magari	汽车玻璃安装工	
Installation, maintenance, and repair occupations	Automotive glass repairer	pembaikan kaca automotif	autoklaasi remont	autojen lasi korjaukset	autóipari üveg javítások	ավտոմոբիլային ապակիների վերանորոգում	স্বয়ংচালিত কাচ মেরামত	मोटर वाहन ग्लास मरम्मत	自動車ガラスの修理	?	otomotiv cam tamirleri	gilasi ti idoko tun ṣe atunṣe	beira automobilen konponketak	matengenezo ya kioo ya magari	汽车玻璃维修	
Installation, maintenance, and repair occupations	Automotive mechanic	?	auto mehaanik	auton mekaanikko	autóipari szerelő	ավտոմեքենայի մեխանիկ	স্বয়ংচালিত মেকানিক	मोटर वाहन मेकेनिक	自動車整備士	자동차 정비사	oto tamircisi	oniruuru ẹrọ ayọkẹlẹ	automobilgintza mekanikaria	mashine ya magari	汽车修理工	
Installation, maintenance, and repair occupations	Automotive repairer	pembaiki automotif	?	auton korjaamo	autóipari javítóműhely	ավտոմոբիլային վերանորոգող	?	मोटर वाहन मरम्मतकर्ता	自動車修理業者	자동차 수선공	otomotiv tamircisi	oludasile ẹrọ ayọkẹlẹ	automobilgintzako konpontzailea	mtengenezaji wa magari	汽车修理工	
Installation, maintenance, and repair occupations	Automotive service technician	juruteknik perkhidmatan automotif	autoteeninduse tehnik	autoalan huoltoteknikko	autóipari szerviztechnikus	ավտոմոբիլային սպասարկման տեխնիկ	স্বয়ংচালিত পরিষেবা প্রযুক্তিবিদ	मोटर वाहन सेवा टेक्नीसियन	自動車サービス技術者	자동차 서비스 기술자	otomotiv servis teknisyeni	oniṣelọpọ iṣẹ onibara	automobilgintzako teknikaria	teknolojia ya huduma ya magari	汽车维修技术员	
Installation, maintenance, and repair occupations	Avionics technician	juruteknik avionik	avioonikaga seotud tehnik	avioniikan teknikko	repülőgéptechnikus	ավիացիոն տեխնիկ	এভিয়েশন টেকনিশিয়ান	avionics टेक्नीसियन	航空電子技術者	항공 전자 공학 기술자	aviyonik teknisyeni	onimọ-ẹrọ ọdagun	avionics teknikaria	avionics fundi	航空电子技术员	
Installation, maintenance, and repair occupations	Bus mechanic	mekanik bas	buss mehaanik	linja mekaanikko	busz mechanikus	ավտոբուսի մեխանիկ	বাস মেকানিক	बस मेकानिक	バスの整備士	버스 정비공	otobüs tamircisi	aṣiṣe ọkọ ayọkẹlẹ	autobus mekanikaria	mabasi ya basi	巴士修理工	
Installation, maintenance, and repair occupations	Coin machine repairer	pembaiki mesin duit syiling	mündi masina remonditöökoda	?	érmegépjavító	մետաղադրամների մեքենա վերանորոգող	মুদ্রা মেশিন মেরামতকারী	सिक्का मिसिन मरम्मतकर्ता	コインマシン修理業者	동전 기계 수리공	madeni para makinesi tamircisi	oniṣẹ ẹrọ ẹrọ ti owo	moneta makina konponketa	mashine ya sarafu	投币机修理工	
Installation, maintenance, and repair occupations	Coin machine servicer	alat servis mesin duit syiling	mündi masina teenindaja	coin machine servicer	érmegép szerver	մետաղադրամների մեքենայի սպասարկողը	মুদ্রা মেশিন সার্ভার	सिक्का मिसिन servicer	コインマシンサービサー	동전 기계 서비스업 자	jeton makinesi servisi	oniṣowo ẹrọ ti owo	txanpon makina zerbitzaria	sarafu ya mashine ya sarafu	投币机服务商	
Installation, maintenance, and repair occupations	Computer repairer	pembaikan komputer	arvutiremont	tietokone korjaaja	számítógép javítóműhely	համակարգչային նորոգում	কম্পিউটার মেরামতকারী	कम्प्यूटर मरम्मत	コンピュータ修復師	컴퓨터 수선공	bilgisayar tamircisi	komputa kọmputa	ordenagailu konponketa	kompyuta repairer	电脑维修	
Installation, maintenance, and repair occupations	Control installer	pemasang kawalan	kontrolli paigaldaja	ohjaus asennusohjelma	vezérlő telepítő	վերահսկիչ տեղադրող	নিয়ন্ত্রণ ইনস্টলার	नियन्त्रण स्थापनाकर्ता	制御インストーラ	제어 설치 관리자	kontrol yükleyici	iṣakoso iṣakoso	kontrol-instalatzailea	kudhibiti installer	控制安装程序	
Installation, maintenance, and repair occupations	Control repairer	pembaikan kawalan	kontrolliva remonditöökoda	ohjauskorjaaja	ellenőrző javítóműhely	վերահսկիչ վերանորոգող	কন্ট্রোল রক্ষণকারী	नियन्त्रण मर्मतकर्ता	コントロール修復士	통제 수선공	kontrol tamircisi	iṣakoso repairer	kontrol-konpontzailea	kudhibiti mtayarishaji	控制修理工	
Installation, maintenance, and repair occupations	Diesel engine specialist	pakar enjin diesel	diiselmootorite spetsialist	dieselmoottorin asiantuntija	dízelmotoros szakember	դիզելային շարժիչի մասնագետ	ডিজেল ইঞ্জিন বিশেষজ্ঞ	डीजल इन्जिन विशेषज्ञ	ディーゼルエンジンの専門家	디젤 엔진 전문가	dizel motor uzmanı	olùṣánmọ oníṣiríṣi diesel	diesel motor espezialista	mtaalamu wa injini ya dizeli	柴油机专家	
Installation, maintenance, and repair occupations	Diver	penyelam	sukelduja	sukeltaja	búvár	ջոկատ	ডুবুরি	डाइभर	ダイバー	잠수부	dalgıç	oludari	urpekari	diver	潜水员	
Installation, maintenance, and repair occupations	Electric motor repairers	pembaikan motor elektrik	elektrimootori remontijad	sähkömoottorien korjaamot	elektromos motorjavító	էլեկտրական շարժիչի վերանորոգողներ	বৈদ্যুতিক মোটর মেরামতকারী	बिजुली मोटर मरम्मतकर्ता	電気モーター修復師	전기 모터 수리공	?	awọn oniṣowo moto ti ina	motor elektrikoen konponketariak	watengeneza magari ya umeme	电动机修理工	
Installation, maintenance, and repair occupations	Electrical power-line installer	pemasang talian kuasa elektrik	elektrijuhtme paigaldaja	sähköverkko-asentaja	?	էլեկտրահաղորդման գծերի տեղադրող	বৈদ্যুতিক শক্তি লাইন ইনস্টলার	विद्युत पावर लाइन स्थापनाकर्ता	電力ラインインストーラ	?	elektrik güç hattı kurucu	atunto ẹrọ-agbara-ila	energia elektrikoaren lineako instalatzailea	umeme wa mstari wa umeme	电力线安装人员	
Installation, maintenance, and repair occupations	Electrical power-line repairer	pembaikan talian kuasa elektrik	elektrivõrgu parandaja	sähköverkko-korjaamo	?	էլեկտրահաղորդման գծերի վերանորոգող	বৈদ্যুতিক শক্তি লাইন মেরামতকারী	?	電力線修理業者	?	elektrik güç hattı tamircisi	alamọ okun-agbara-agbara	energia elektrikoaren linea konponketa	umeme wa mstari wa umeme	电力线修理工	
Installation, maintenance, and repair occupations	Electronic home entertainment equipment installer	pemasang peralatan hiburan elektronik elektronik	elektrooniline koduse meelelahutuse seadmete paigaldaja	?	elektronikus otthoni szórakoztató berendezések telepítője	էլեկտրոնային կենցաղային ժամանցի սարքավորումներ տեղադրող	ইলেক্ট্রনিক হোম বিনোদন সরঞ্জাম ইনস্টলার	विद्युतीय घर मनोरञ्जन उपकरण स्थापना	電子家庭用娯楽機器インストーラ	전자 홈 엔터테인먼트 장비 설치자	elektronik ev eğlence ekipmanları kurulumu	ẹrọ isise ẹrọ ile-iṣẹ itanna ile-iṣẹ	etxeko entretenimendu ekipamendu instalatzaile elektronikoa	vifaa vya burudani nyumbani vya vifaa vya burudani	电子家庭娱乐设备安装人员	
Installation, maintenance, and repair occupations	Electronic home entertainment equipment repairer	pembaikan peralatan hiburan rumah elektronik	elektrooniline koduse meelelahutuse seadmete remonditöökoda	sähköisen kodin viihdelaitteiden korjaamo	elektronikus otthoni szórakoztató berendezések javítóműhelye	էլեկտրոնային կենցաղային ժամանցի սարքավորումների վերանորոգող	ইলেক্ট্রনিক হোম বিনোদন সরঞ্জাম মেরামতকারী	विद्युतीय घर मनोरञ्जन उपकरण मरम्मतकर्ता	電子家庭用娯楽機器修理業者	전자 홈 엔터테인먼트 장비 수리공	elektronik ev eğlence ekipmanları tamircisi	ohun elo ile-iṣẹ itanna ti ile-iṣẹ itanna	etxeko entretenimendu ekipamendu konponketa elektronikoa	?	电子家庭娱乐设备修理工	
Installation, maintenance, and repair occupations	Fire alarm systems installer	pemasang sistem penggera kebakaran	tuletõrjesüsteemide paigaldaja	palohälytysjärjestelmien asentaja	tűzjelző rendszerek telepítője	հրդեհային ահազանգման համակարգերի տեղադրող	অগ্নি বিপদাশঙ্কা সিস্টেম ইনস্টলার	आगो अलार्म प्रणाली स्थापनाकर्ता	火災警報システムのインストーラ	화재 경보기 설치자	yangın alarm sistemleri kurulumu	ina sori ẹrọ itaniji awọn ọna ẹrọ itaniji	su-alarma sistemen instalatzailea	mitambo ya kengele ya moto	火警系统安装人员	
Installation, maintenance, and repair occupations	First-line supervisor of installers	penyelia pertama pemasang	paigaldajate esmavaliku juhendaja	asentajien ensimmäisen linjan ohjaaja	?	?	?	स्थापनाकर्ताहरूको पहिलो-लाइन पर्यवेक्षक	初心者インストーラの監督者	설치 관리자의 1 차 관리자	montajcıların birinci hat sorumlusu	olutọju akọkọ ti awọn olutọpa	instalatzaileen lehen mailako ikuskatzailea	msimamizi wa kwanza wa wasimamizi	安装人员的一线主管	
Installation, maintenance, and repair occupations	First-line supervisor of mechanics	penyelia mekanik pertama	mehaanika esmane juhendaja	mekaniikan ensimmäisen linjan ohjaaja	a mechanika első szintű felügyelője	մեխանիկայի առաջին կարգի ղեկավարը	মেকানিক্সের প্রথম লাইন সুপারভাইজার	मेकानिक्सको पहिलो-लाइन पर्यवेक्षक	ファーストラインのメカニックス監督	기계공의 일선 관리자	mekaniğin birinci kademe amiri	olutọju akọkọ ti awọn ẹrọ isise	lehen mekanikaren arduraduna	msimamizi wa kwanza wa mitambo	力学一线主管	
Installation, maintenance, and repair occupations	First-line supervisor of repairers	penyelia pertama pembaikan	remonditöökodade esiminane juhendaja	korjaajien ensilinjan esimiehenä	a javítóműhelyek első szintű felügyelője	վերանորոգողների առաջին կարգի ղեկավարը	মেরামতকারীদের প্রথম লাইন সুপারভাইজার	मरम्मतकर्ताहरूको पहिलो-लाइन पर्यवेक्षक	修理業者のファーストライン監督	수선공의 일선 관리자	tamircilerin ilk sıra sorumlusu	olutọju akọkọ ti awọn repairers	lehen mailako arduradunen arduraduna	msimamizi wa kwanza wa mstari wa watayarishaji	维修人员一线主管	
Installation, maintenance, and repair occupations	Heating installer	pemasang pemanasan	kütte paigaldaja	lämmitysasentaja	fűtés telepítő	ջեռուցման տեղադրող	গরম ইনস্টলার	हीटिंग स्थापना	暖房インストーラ	난방 설치자	ısıtma yükleyicisi	?	berokuntza instalatzailea	inapokanzwa kufunga	加热安装人员	
Installation, maintenance, and repair occupations	Heating mechanic	mekanik pemanasan	küttemehhaanik	lämmitysmekaanikko	?	ջեռուցման մեխանիզմ	গরম মেকানিক	हीटिंग मैकेनिक	加熱機構	난방 기계공	ısıtma tamircisi	ẹrọ alapapo	berokuntza mekanikaria	inapokanzwa mitambo	加热技工	
Installation, maintenance, and repair occupations	Heavy vehicle mechanic	mekanik kenderaan berat	raskeveokite mehaanik	raskaiden ajoneuvojen mekaanikko	nehéz járműszerelő	?	ভারী গাড়ির মেকানিক	भारी वाहन मेकानिक	重車両整備士	무거운 차량 정비공	ağır vasıta tamircisi	alakoso ọkọ ayọkẹlẹ	ibilgailu astuneko mekanikaria	?	重型汽车修理工	
Installation, maintenance, and repair occupations	Heavy vehicle service technician	juruteknik perkhidmatan kenderaan berat	raskeveokite hooldustehnik	raskaan ajoneuvon huoltoteknikko	nehézgépjármű technikus	ծանր տրանսպորտային սպասարկման տեխնիկ	ভারী গাড়ির পরিষেবা প্রযুক্তিবিদ	भारी वाहन सेवा प्रविधि	重い車のサービス技術者	대형 차량 서비스 기술자	ağır vasıta servis teknisyeni	alakoso onisẹ ẹrọ ọkọ	ibilgailu astuneko zerbitzu teknikaria	?	重型车辆维修技术员	
Installation, maintenance, and repair occupations	Home appliance repairer	?	kodumasina remonditöökoda	?	háztartási készülékjavító	կենցաղային տեխնիկայի վերանորոգող	হোম যন্ত্রপাতি মেরামতকারী	गृह उपकरण मरम्मतकर्ता	家電修理業者	?	ev aletleri tamircisi	aṣoju ẹrọ ile	etxeko tresnaren konponketa	mtengenezaji wa vifaa vya nyumbani	家电维修	
Installation, maintenance, and repair occupations	Industrial electrical repairer	?	tööstuslik elektritarvetehas	?	ipari villanyjavító	արդյունաբերական էլեկտրացանցեր	শিল্প বৈদ্যুতিক মেরামতকারী	औद्योगिक विद्युत मरम्मतकर्ता	産業用電気修復師	산업용 전기 수선공	endüstriyel elektrik tamircisi	oniroyin eroja ile-iṣẹ	industria elektrikoa konpontzailea	?	工业电器维修	
Installation, maintenance, and repair occupations	Industrial electronics repairer	pembaikan elektronik perindustrian	tööstuslike elektroonikaseadmete parandus	teollisuuselektroniikan korjaamo	ipari elektronikai javítóműhely	արդյունաբերական էլեկտրոնիկայի վերանորոգող	শিল্প ইলেকট্রনিক্স রিপেয়ারার	औद्योगिक इलेक्ट्रोनिक्स मरम्मत	産業用電子機器修理業者	산업용 전자 제품 수리공	endüstriyel elektronik tamircisi	oluṣeto ile-iṣẹ ohun elo ile-iṣẹ	elektronika industriala konpontzailea	viwanda vya umeme repairer	工业电子修理工	
Installation, maintenance, and repair occupations	Industrial machinery mechanic	mekanik jentera perindustrian	tööstuslike masinate mehaanik	teollisuuskoneiden mekaanikko	ipari gépek mechanikus	արդյունաբերական մեքենաների մեխանիկ	শিল্প যন্ত্রপাতি মেকানিক	औद्योगिक मशीनरी मेकेनिक	産業機械メカニック	산업 기계공	endüstriyel makine tamircisi	onisẹ ẹrọ ẹrọ-iṣẹ	makineria industriala mekanikaria	viwanda mitambo mashine	工业机械技工	
Installation, maintenance, and repair occupations	Installation worker	pekerja pemasangan	paigaldus töötaja	asennustyöntekijä	telepítő munkás	տեղադրման աշխատող	ইনস্টলেশন শ্রমিক	स्थापना कार्यकर्ता	?	설치 작업자	kurulum görevlisi	?	instalazio-langilea	mfanyakazi wa ufungaji	安装工人	
Installation, maintenance, and repair occupations	Installation worker helper	?	paigaldus töötaja abimees	asennusalan työntekijä	telepítési munkás segítő	տեղադրման աշխատողի օգնական	ইনস্টলেশন কর্মী সাহায্যকারী	स्थापना कार्यकर्ता सहायक	設置作業員ヘルパー	설치 작업 도우미	yükleme işçisi yardımcısı	fifi sori oluranlowo iṣẹ	instalazio laguntzaile laguntzailea	mfanyakazi msaidizi wa ufungaji	安装工人帮手	
Installation, maintenance, and repair occupations	Locksmith	tukang kunci	lukksepp	lukkoseppä	lakatos	փականագործ	তালাত্তয়ালা	तालाबन्दी	錠前屋	자물쇠 제조공	çilingir	lockedmith	?	locksmith	锁匠	
Installation, maintenance, and repair occupations	Machinery maintenance worker	pekerja penyelenggaraan jentera	?	koneenhoitotyöntekijä	gépek karbantartása	մեքենաների պահպանման աշխատող	যন্ত্রপাতি রক্ষণাবেক্ষণ কর্মী	मशीनरी रखरखाव कार्यकर्ता	機械保守作業員	기계 유지 보수 종사자	makine bakım işçisi	oluṣeto iṣiṣẹ ẹrọ	makineria mantentze-langilea	mashine ya matengenezo ya mashine	机械维修工	
Installation, maintenance, and repair occupations	Maintenance worker	pekerja penyelenggaraan	hooldustööline	?	karbantartó	սպասարկման աշխատող	?	रखरखाव कार्यकर्ता	保守管理者	정비공	bakım işçisi	oluṣakoso itọju	?	mfanyakazi wa matengenezo	维修工人	
Installation, maintenance, and repair occupations	Maintenance worker	pekerja penyelenggaraan	hooldustööline	huoltotyöntekijä	karbantartó	սպասարկման աշխատող	রক্ষণাবেক্ষণ কর্মী	रखरखाव कार्यकर्ता	保守管理者	정비공	bakım işçisi	oluṣakoso itọju	mantentze-langilea	mfanyakazi wa matengenezo	维修工人	
Installation, maintenance, and repair occupations	Maintenance workers helper	pembantu pekerja penyelenggaraan	hooldustööde abistaja	huoltotyöntekijöiden avustaja	karbantartó munkások segítője	սպասարկող օգնականներ	রক্ষণাবেক্ষণ কর্মীদের সাহায্যকারী	रखरखाव कार्यकर्ता सहायक	メンテナンスワーカー	정비원 도우미	bakım çalışanları yardımcısı	oluranlọwọ oluranlọwọ itọju	mantentze laneko laguntzailea	wafanyakazi wa matengenezo ya msaidizi	维修工帮手	
Installation, maintenance, and repair occupations	Manufactured building installer	pemasang bangunan pembuatan	valmistatud hoone paigaldaja	valmistettu rakennusasentaja	gyártott épületszerelő	?	নির্মিত ভবন ইনস্টলার	निर्माण भवन स्थापनाकर्ता	製造された建物のインストーラ	제조사 건물 제작자	üretilen bina yükleyici	?	fabrikatutako eraikuntza instalatzailea	kiwanda cha ujenzi wa viwandani	制造建筑安装人员	
Installation, maintenance, and repair occupations	Millwright	millwright	?	millwright	malomépítő	մղձավանջը	কারখানা নির্মাতা	मिलवामी	ミルライト	밀 라이트	değirmenci	millwright	millwright	?	技工	
Installation, maintenance, and repair occupations	Mobile equipment installer	pemasang peralatan mudah alih	mobiilseadmete paigaldaja	mobiililaitteiden asentaja	mobil berendezések telepítője	բջջային սարքավորումների տեղադրող	?	मोबाइल उपकरण स्थापना	モバイル機器インストーラ	?	mobil ekipman kurulumu	ẹrọ ti nṣiṣẹ ẹrọ alagbeka	ekipamendu ekipo mugikorra	?	移动设备安装人员	
Installation, maintenance, and repair occupations	Mobile equipment mechanic	mekanik peralatan mudah alih	mobiilseadmete mehaanik	mobiililaitteiden mekaanikko	mobileszköz-szerelő	բջջային սարքավորումների մեխանիկ	মোবাইল সরঞ্জাম মেকানিক	मोबाइल उपकरण मेनिकिक	モバイル機器の整備士	이동 장비 정비사	mobil ekipman tamircisi	ẹrọ isise ẹrọ alagbeka	ekipamendu mugikorreko mekanikaria	vifaa vya vifaa vya simu	移动设备机械师	
Installation, maintenance, and repair occupations	Mobile equipment mechanic	mekanik peralatan mudah alih	mobiilseadmete mehaanik	mobiililaitteiden mekaanikko	mobileszköz-szerelő	բջջային սարքավորումների մեխանիկ	মোবাইল সরঞ্জাম মেকানিক	मोबाइल उपकरण मेनिकिक	モバイル機器の整備士	이동 장비 정비사	mobil ekipman tamircisi	ẹrọ isise ẹrọ alagbeka	ekipamendu mugikorreko mekanikaria	vifaa vya vifaa vya simu	移动设备机械师	
Installation, maintenance, and repair occupations	Mobile equipment repairer	pembaikan peralatan mudah alih	mobiilseadmete remonditöökoda	mobiililaitteiden korjaamo	mobil berendezés javító	բջջային սարքավորումների նորոգում	মোবাইল সরঞ্জাম মেরামতকারী	मोबाइल उपकरण मरम्मतकर्ता	モバイル機器修理業者	모바일 장비 수선공	mobil ekipman tamircisi	ẹrọ atunṣe ẹrọ alagbeka	ekipo mugikorren konponketa	vifaa vya vifaa vya simu	移动设备修理工	
Installation, maintenance, and repair occupations	Mobile equipment service technician	juruteknik perkhidmatan peralatan mudah alih	mobiilsideteenuste tehnik	mobiililaitteiden huoltoteknikko	mobil berendezés szerviztechnikus	բջջային սարքավորումների սպասարկման տեխնիկ	মোবাইল সরঞ্জাম পরিষেবা বিশেষজ্ঞ	मोबाइल उपकरण सेवा टेक्नीसियन	モバイル機器サービス技術者	모바일 장비 서비스 기술자	mobil ekipman servis teknisyeni	oniṣowo onisẹ ẹrọ alagbeka	ekipamendu ekipo mugikorreko teknikaria	teknolojia ya huduma ya vifaa vya simu	移动设备维修技术员	
Installation, maintenance, and repair occupations	Mobile home installer	pemasang rumah mudah alih	mobiilne koduinstalleerija	matkapuhelimen asentaja	mobilház telepítő	բջջային տեղադրիչ	মোবাইল হোম ইনস্টলার	मोबाइल गृह स्थापनाकर्ता	モバイルホームインストーラ	모바일 홈 설치 프로그램	mobil ev yükleyici	mobile insitola ile	etxeko instalazio mugikorra	msanidi wa nyumbani wa simu	移动家庭安装程序	
Installation, maintenance, and repair occupations	Motor vehicles electronic equipment installer	kenderaan motor pemasang peralatan elektronik	mootorsõidukite elektroonikaseadmete paigaldaja	moottoriajoneuvojen elektroniikkalaitteiden asentaja	gépjármű elektronikus berendezések telepítője	ավտոմոբիլային տրանսպորտային միջոցների էլեկտրոնային սարքավորումների տեղադրում	মোটর গাড়ি ইলেকট্রনিক যন্ত্রপাতি ইনস্টলার	मोटर वाहनहरू इलेक्ट्रोनिक उपकरण स्थापनाकर्ता	自動車電子機器インストーラ	자동차 전자 장비 설치자	motorlu taşıtlar elektronik ekipman montajcısı	awọn ọkọ ayọkẹlẹ pa ọkọ ayọkẹlẹ ẹrọ ẹrọ itanna	ibilgailu elektrikoen ekipamendu instalatzaile elektronikoa	magari ya vifaa vya umeme vya mitambo	汽车电子设备安装人员	
Installation, maintenance, and repair occupations	Motor vehicles electronic equipment repairer	kenderaan motor pembaikan peralatan elektronik	mootorsõidukite elektroonikaseadmete parandus	moottoriajoneuvojen elektroniikkalaitteiden korjaamo	gépjármű elektronikai javítóműhely	ավտոմոբիլային տրանսպորտային միջոցների էլեկտրոնային սարքավորումների վերանորոգող	মোটর গাড়ি ইলেকট্রনিক যন্ত্রপাতি মেরামতকারী	मोटर वाहनहरू विद्युतीय उपकरण मरम्मतकर्ता	自動車電子機器修理業者	자동차 전자 장비 수선공	motorlu taşıtlar elektronik ekipman tamircisi	awọn ọkọ ayọkẹlẹ ti nlo ẹrọ atunṣe ẹrọ itanna	ibilgailuentzako ekipo elektronikoak konponketa	magari ya vifaa vya vifaa vya umeme	汽车电子设备维修	
